257,ATR-0385,,M,,359,20/09/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.5199662019728,-52.6086547329524,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
259,ATR-0386,,M,,70,20/09/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.6797022696362,-52.2315974568632,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
268,ATR-0387,,,,"64,5",03/10/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.627600757535,-53.6170907192403,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
271,ATR-0388,,M,,101,03/10/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-22.1206900577995,-53.3104997133965,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
278,ATR-0389,,,,"203,5",05/10/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.1795842862601,-56.5259314652433,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
279,ATR-0390,,M,,"932,5",05/10/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.1662898908932,-56.5599437446914,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
280,ATR-0391,,,,230,05/10/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.1354536537297,-56.6418442505415,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
281,ATR-0392,,,,89,17/10/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.4988154986753,-54.26360565281,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
287,ATR-0393,,M,,"330,5",18/10/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.7329769183708,-52.1166038355525,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
288,ATR-0394,,M,,70,18/10/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.7590069985773,-52.0325943103135,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
294,ATR-0395,,M,,1620,19/10/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.2088272988588,-56.4237179387741,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
309,ATR-0396,,,,"136,5",07/02/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4329901510135,-53.2535116012182,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
314,ATR-0397,,,,"62,5",02/11/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.5213598917499,-55.6010755699111,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
324,ATR-0398,,,,"80,5",14/11/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.6422679481749,-53.4911107346586,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
330,ATR-0399,,M,,"56,5",14/11/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-22.1730481183975,-53.3207870912403,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
332,ATR-0400,,,,38,15/11/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4711554928878,-54.4512120576577,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
346,ATR-0401,,,,213,29/11/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4887906125484,-54.1362237957641,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
360,ATR-0402,,,,206,30/11/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.3157302232807,-56.2345024256574,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
368,ATR-0403,,,,73,13/12/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.462452557709,-53.7028599663916,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
372,ATR-0404,,M,,"796,5",14/12/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.1673224597728,-56.5573091854478,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
374,ATR-0405,,M,,"74,5",23/12/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.6475525367639,-54.5656209975106,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
381,ATR-0406,,M,,"73,5",24/12/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.5641040650423,-52.5030322697032,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
383,ATR-0407,,M,,264,25/12/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.3506323304339,-56.1424640582395,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
395,ATR-0408,,,,"86,5",23/01/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-19.9569993253755,-54.4949109803519,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
397,ATR-0409,,M,,340,23/01/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.6005080507981,-53.850969765937,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
399,ATR-0410,,M,,"72,5",23/01/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.6347757068683,-53.5551982363594,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
403,ATR-0411,,M,,"33,5",24/01/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4460349644743,-52.8470552842719,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
