268,ATR-0387,-,-,-,64.5,10/03/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
271,ATR-0388,-,M,-,101.0,10/03/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
278,ATR-0389,-,-,-,203.5,10/05/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
279,ATR-0390,-,M,-,932.5,10/05/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
280,ATR-0391,-,-,-,230.0,10/05/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
281,ATR-0392,-,-,-,89.0,10/17/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
287,ATR-0393,-,M,-,330.5,10/18/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
288,ATR-0394,-,M,-,70.0,10/18/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
294,ATR-0395,-,M,-,1620.0,10/19/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
309,ATR-0396,-,-,-,136.5,02/07/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
314,ATR-0397,-,-,-,62.5,11/02/13,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
324,ATR-0398,-,-,-,80.5,11/14/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
330,ATR-0399,-,M,-,56.5,11/14/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
332,ATR-0400,-,-,-,38,11/15/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
346,ATR-0401,-,-,-,213,11/29/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
360,ATR-0402,-,-,-,206,11/30/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
368,ATR-0403,-,-,-,73,12/13/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
372,ATR-0404,-,M,-,796.5,12/14/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
374,ATR-0405,-,M,-,74.5,12/23/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
381,ATR-0406,-,M,-,73.5,12/24/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
383,ATR-0407,-,M,-,264,12/25/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
395,ATR-0408,-,-,-,86.5,1/23/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
397,ATR-0409,-,M,-,340,1/23/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
399,ATR-0410,-,M,-,72.5,1/23/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
403,ATR-0411,-,M,-,33.5,1/24/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
411,ATR-0412,-,M,-,179.5,02/08/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
412,ATR-0413,-,M,-,221,02/08/14,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
419,ATR-0414,-,M,-,118,2/20/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
425,ATR-0415,-,-,-,131,2/21/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
428,ATR-0416,-,-,-,135,2/22/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamandua Bandeira,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
