231,ATR-0382,,,,6.9,8/23/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-22.2053045563398,-52.9524870197882,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-22.2053045563398,-52.9524870197882
233,ATR-0383,,,,70.0,8/23/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4438541571334,-55.1322713360037,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4438541571334,-55.1322713360037
254,ATR-0384,,M,,648.5,9/7/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.140490256746,-56.6260453767553,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.140490256746,-56.6260453767553
257,ATR-0385,,M,,359.0,9/20/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.5199662019728,-52.6086547329524,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.5199662019728,-52.6086547329524
259,ATR-0386,,M,,70.0,9/20/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.6797022696362,-52.2315974568632,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.6797022696362,-52.2315974568632
268,ATR-0387,,,,64.5,10/3/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.627600757535,-53.6170907192403,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.627600757535,-53.6170907192403
271,ATR-0388,,M,,101.0,10/3/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-22.1206900577995,-53.3104997133965,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-22.1206900577995,-53.3104997133965
278,ATR-0389,,,,203.5,10/5/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.1795842862601,-56.5259314652433,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.1795842862601,-56.5259314652433
279,ATR-0390,,M,,932.5,10/5/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.1662898908932,-56.5599437446914,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.1662898908932,-56.5599437446914
280,ATR-0391,,,,230.0,10/5/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.1354536537297,-56.6418442505415,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.1354536537297,-56.6418442505415
281,ATR-0392,,,,89.0,10/17/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.4988154986753,-54.26360565281,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.4988154986753,-54.26360565281
287,ATR-0393,,M,,330.5,10/18/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.7329769183708,-52.1166038355525,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.7329769183708,-52.1166038355525
288,ATR-0394,,M,,70.0,10/18/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.7590069985773,-52.0325943103135,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.7590069985773,-52.0325943103135
294,ATR-0395,,M,,1620.0,10/19/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.2088272988588,-56.4237179387741,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.2088272988588,-56.4237179387741
309,ATR-0396,,,,136.5,2/7/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4329901510135,-53.2535116012182,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4329901510135,-53.2535116012182
314,ATR-0397,,,,62.5,11/2/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.5213598917499,-55.6010755699111,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.5213598917499,-55.6010755699111
324,ATR-0398,,,,80.5,11/14/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.6422679481749,-53.4911107346586,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.6422679481749,-53.4911107346586
330,ATR-0399,,M,,56.5,11/14/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-22.1730481183975,-53.3207870912403,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-22.1730481183975,-53.3207870912403
332,ATR-0400,,,,38,11/15/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4711554928878,-54.4512120576577,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4711554928878,-54.4512120576577
346,ATR-0401,,,,213,11/29/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4887906125484,-54.1362237957641,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4887906125484,-54.1362237957641
360,ATR-0402,,,,206,11/30/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.3157302232807,-56.2345024256574,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.3157302232807,-56.2345024256574
368,ATR-0403,,,,73,12/13/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.462452557709,-53.7028599663916,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.462452557709,-53.7028599663916
372,ATR-0404,,M,,796.5,12/14/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.1673224597728,-56.5573091854478,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.1673224597728,-56.5573091854478
374,ATR-0405,,M,,74.5,12/23/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.6475525367639,-54.5656209975106,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.6475525367639,-54.5656209975106
381,ATR-0406,,M,,73.5,12/24/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.5641040650423,-52.5030322697032,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.5641040650423,-52.5030322697032
383,ATR-0407,,M,,264,12/25/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.3506323304339,-56.1424640582395,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.3506323304339,-56.1424640582395
395,ATR-0408,,,,86.5,1/23/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-19.9569993253755,-54.4949109803519,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-19.9569993253755,-54.4949109803519
397,ATR-0409,,M,,340,1/23/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.6005080507981,-53.850969765937,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.6005080507981,-53.850969765937
399,ATR-0410,,M,,72.5,1/23/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.6347757068683,-53.5551982363594,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.6347757068683,-53.5551982363594
403,ATR-0411,,M,,33.5,1/24/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4460349644743,-52.8470552842719,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4460349644743,-52.8470552842719
411,ATR-0412,,M,,179.5,2/8/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.4542140096557,-55.4382007880365,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4542140096557,-55.4382007880365
412,ATR-0413,,M,,221,2/8/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.3566075596353,-56.1284145378319,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.3566075596353,-56.1284145378319
419,ATR-0414,,M,,118,2/20/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.9497602292131,-53.3161079518503,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.9497602292131,-53.3161079518503
425,ATR-0415,,,,131,2/21/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.7951707843327,-51.8946594167791,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.7951707843327,-51.8946594167791
428,ATR-0416,,,,135,2/22/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.5001112464287,-55.9184527167747,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.5001112464287,-55.9184527167747
431,ATR-0417,,,,590.5,2/22/2014,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-20.3577399265777,-56.127191429972,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.3577399265777,-56.127191429972
264,ATR-0418,,M,,394,9/21/2013,Myrmecophaga ,Myrmecophaga tridactyla,Tamanduá Bandeira,-21.6017569245764,-53.8360039244728,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.6017569245764,-53.8360039244728
4,ATR-0419,,M,,163,4/2/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-21.6596853296,-53.4406059969,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.6596853296,-53.4406059969
6,ATR-0420,,,,35.5,4/4/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.4608023581,-53.3777838262,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4608023581,-53.3777838262
14,ATR-0421,,,,90.5,4/6/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.5012819136,-55.896303152,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.5012819136,-55.896303152
26,ATR-0422,,M,,216,4/18/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.4872709166,-52.7758553426,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4872709166,-52.7758553426
42,ATR-0423,,,,49.5,4/20/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.2881161876,-56.2923280978,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.2881161876,-56.2923280978
46,ATR-0424,,,,35,4/20/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.2690812918,-56.3324213138,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.2690812918,-56.3324213138
49,ATR-0425,,,,209,4/30/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.6511493131,-54.5645468198,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.6511493131,-54.5645468198
55,ATR-0426,,,,254,4/30/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-21.6740736009,-53.412477733,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-21.6740736009,-53.412477733
57,ATR-0427,,M,,731.5,5/3/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.5070680816,-54.2715386128,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.5070680816,-54.2715386128
59,ATR-0428,,M,,793,5/3/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.4780689997,-54.1238541495,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4780689997,-54.1238541495
68,ATR-0429,,M,,402,5/4/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.5445466575,-55.4549316111,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.5445466575,-55.4549316111
69,ATR-0430,,M,,292.5,5/4/2013,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.4952260717,-55.9335030818,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E",,,,,,-20.4952260717,-55.9335030818
