objectid_1,objectid,leg_radam,leg_atual,leg_carga,clas_domi,leg_uveg,nm_uveg,leg_uantr,nm_uantr,leg_contat,nm_contat,veg_pretet,nm_pretet,legenda,shape_leng,shape_area
16286,0,Fae,Fae,Fae,Fae,Fae,Floresta Estacional Semidecidual Aluvial com dossel emergente,,,,,,,Fae - Floresta Estacional Semidecidual Aluvial com dossel emergente,0.02633,1E-05
16287,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.19948,0.00088
16288,978,Ap.F,Ap.F,Ap.F,Ap,,,Ap,Pecuria (pastagens),,,F,Floresta Estacional Semidecidual,Ap.F -  Pecuria (pastagens) em  Floresta Estacional Semidecidual,0.20829,0.00102
16289,7741,Sas,Sas,Sas,Sas,Sas,Savana Arborizada sem floresta-de-galeria,,,,,,,Sas - Savana Arborizada sem floresta-de-galeria,0.59255,0.00429
16290,1405,Cs,Cs,Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,,,,,Cs - Floresta Estacional Decidual Submontana,0.16297,0.00056
16291,161,Tas,Tas,Tas,Tas,Tas,Savana-Estpica Arborizada sem palmeiras e sem floresta-de-galeria,,,,,,,Tas - Savana-Estpica Arborizada sem palmeiras e sem floresta-de-galeria,1.60824,0.02364
16292,1405,Cs,Cs,Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,,,,,Cs - Floresta Estacional Decidual Submontana,0.51046,0.00777
16293,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.66847,0.00685
16294,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.35974,0.00315
16295,0,Cbe,Cbe,Cbe,Cbe,Cbe,Floresta Estacional Decidual das Terras Baixas com dossel emergente,,,,,,,Cbe - Floresta Estacional Decidual das Terras Baixas com dossel emergente,0.5305,0.00829
16296,106,Magua,Magua,Magua,Magua,,,,,,,,,Corpo dgua continental,0.19069,0.00152
16297,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.59239,0.00366
16298,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.11939,0.00075
16299,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.73819,0.01347
16300,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.38826,0.00206
16301,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.10207,0.00044
16302,1553,Cs1,SNc/Cs,SNc/Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,SN,Contato Savana/Floresta Estacional,,,SNc/Cs - Floresta Estacional Decidual Submontana  em Contato Savana/Floresta Estacional,4.22676,0.08922
16303,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,1.02639,0.00725
16304,106,Magua,Magua,Magua,Magua,,,,,,,,,Corpo dgua continental,0.07381,0.00024
16305,106,Magua,Magua,Magua,Magua,,,,,,,,,Corpo dgua continental,0.04318,0.00013
16306,106,Magua,Magua,Magua,Magua,,,,,,,,,Corpo dgua continental,0.04834,0.00013
16307,0,Tpf,Tpf,Tpf,Tpf,Tpf,Savana-Estpica Parque com floresta-de-galeria,,,,,,,Tpf - Savana-Estpica Parque com floresta-de-galeria,0.03027,6E-05
16308,1405,Cs,Cs,Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,,,,,Cs - Floresta Estacional Decidual Submontana,0.06714,0.00017
16309,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.23054,0.00172
16310,1553,Cs1,SNc/Cs,SNc/Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,SN,Contato Savana/Floresta Estacional,,,SNc/Cs - Floresta Estacional Decidual Submontana  em Contato Savana/Floresta Estacional,0.31055,0.00191
16311,106,Magua,Magua,Magua,Magua,,,,,,,,,Corpo dgua continental,0.06668,0.0002
16312,1405,Cs,Cs,Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,,,,,Cs - Floresta Estacional Decidual Submontana,0.09231,0.00024
16313,106,Magua,Magua,Magua,Magua,,,,,,,,,Corpo dgua continental,0.15974,0.0005
16314,0,Fae,Fae,Fae,Fae,Fae,Floresta Estacional Semidecidual Aluvial com dossel emergente,,,,,,,Fae - Floresta Estacional Semidecidual Aluvial com dossel emergente,0.31785,0.00159
16315,106,Magua,Magua,Magua,Magua,,,,,,,,,Corpo dgua continental,0.0419,8E-05
16316,2619,Fa,Fa,Fa,Fa,Fa,Floresta Estacional Semidecidual Aluvial,,,,,,,Fa - Floresta Estacional Semidecidual Aluvial,0.04639,0.00013
16317,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,0.23288,0.00121
16318,1117,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,0.18597,0.00115
16319,26,Ap1,Ap.SN,Ap.SN,Ap,,,Ap,Pecuria (pastagens),SN,Contato Savana/Floresta Estacional,,,Ap.SN -  Pecuria (pastagens) em Contato Savana/Floresta Estacional,0.98401,0.01136
